"date","Strike","Close"
2015-11-02,"330",0.125
2015-11-02,"340",0.125
2015-11-02,"345",0.25
2015-11-02,"350",0.375
2015-11-02,"360",1.25
2015-11-02,"365",2.25
2015-11-02,"370",3.75
2015-11-02,"375",5.75
2015-11-02,"380",8.375
2015-11-02,"385",11.625
2015-11-02,"390",15.625
2015-11-02,"395",19.875
2015-11-02,"400",24.375
2015-11-02,"410",33.875
2015-11-02,"420",43.625
2015-11-02,"430",53.625
2015-11-02,"450",73.625
2015-10-29,"270",0.125
NA,"300",0.125
NA,"320",0.125
NA,"330",0.125
2015-10-29,"335",0.125
NA,"340",0.125
NA,"350",0.375
NA,"355",0.5
NA,"360",0.875
NA,"365",1.375
NA,"370",2.25
NA,"375",3.75
NA,"380",5.75
NA,"385",8.5
NA,"390",11.25
NA,"400",19.5
NA,"410",28.5
NA,"420",37.75
NA,"430",46.75
2015-10-29,"440",60.125
NA,"450",67.5
NA,"460",77.5
2015-10-29,"300",0.125
2015-10-29,"310",0.125
2015-10-29,"320",0.125
2015-10-29,"330",0.125
2015-10-29,"340",0.125
2015-10-29,"350",0.375
2015-10-29,"355",0.625
2015-10-29,"360",1.125
2015-10-29,"365",1.875
2015-10-29,"370",3.125
2015-10-29,"375",4.75
2015-10-29,"380",7
2015-10-29,"385",9.875
2015-10-29,"390",13.375
2015-10-29,"400",21.5
2015-10-29,"410",30.625
2015-10-29,"420",40.25
2015-10-29,"430",50.125
2015-10-29,"450",70.125
2015-10-29,"460",80.125
2015-10-28,"270",0.125
2015-10-28,"320",0.125
2015-10-28,"330",0.125
2015-10-28,"335",0.125
2015-10-28,"340",0.25
2015-10-28,"350",0.625
2015-10-28,"355",1.125
2015-10-28,"360",1.875
2015-10-28,"365",3
2015-10-28,"370",4.625
2015-10-28,"375",6.875
2015-10-28,"380",9.5
2015-10-28,"385",12.875
2015-10-28,"390",16.625
2015-10-28,"400",25.25
2015-10-28,"410",34.5
2015-10-28,"420",44.25
2015-10-28,"430",54.125
2015-10-28,"440",64.125
2015-10-28,"450",74.125
2015-10-27,"320",0.125
2015-10-27,"325",0.125
2015-10-27,"330",0.125
2015-10-27,"340",0.25
2015-10-27,"345",0.375
2015-10-27,"350",0.5
2015-10-27,"355",0.875
2015-10-27,"360",1.5
2015-10-27,"365",2.375
2015-10-27,"370",3.75
2015-10-27,"375",5.5
2015-10-27,"380",7.75
2015-10-27,"385",10.625
2015-10-27,"390",14
2015-10-27,"395",17.75
2015-10-27,"400",21.875
2015-10-27,"410",30.875
2015-10-27,"420",40.5
2015-10-27,"430",50.25
2015-10-27,"440",60.125
2015-10-27,"450",70.125
2015-10-27,"460",80.125
2015-10-26,"300",0.125
2015-10-26,"325",0.125
2015-10-26,"330",0.125
2015-10-26,"335",0.125
2015-10-26,"340",0.125
2015-10-26,"345",0.25
2015-10-26,"350",0.375
2015-10-26,"355",0.625
2015-10-26,"360",1.125
2015-10-26,"365",1.75
2015-10-26,"370",2.75
2015-10-26,"375",4.25
2015-10-26,"380",6
2015-10-26,"385",8.375
2015-10-26,"390",11.25
2015-10-26,"400",18.5
2015-10-26,"410",27
2015-10-26,"420",36.25
2015-10-26,"430",45.875
2015-10-26,"450",65.625
2015-10-26,"460",75.625
2015-10-23,"320",0.125
2015-10-23,"330",0.125
2015-10-23,"335",0.25
2015-10-23,"340",0.375
2015-10-23,"350",0.75
2015-10-23,"355",1.125
2015-10-23,"360",1.875
2015-10-23,"365",2.875
2015-10-23,"370",4.25
2015-10-23,"375",6.125
2015-10-23,"380",8.375
2015-10-23,"385",11.125
2015-10-23,"390",14.5
2015-10-23,"395",18.25
2015-10-23,"400",22.375
2015-10-23,"410",31.25
2015-10-23,"420",40.75
2015-10-23,"430",50.625
2015-10-23,"440",60.375
2015-10-23,"450",70.375
2015-10-22,"335",0.25
2015-10-22,"340",0.375
2015-10-22,"345",0.625
2015-10-22,"350",1
2015-10-22,"355",1.5
2015-10-22,"360",2.25
2015-10-22,"365",3.5
2015-10-22,"370",5
2015-10-22,"375",7
2015-10-22,"380",9.5
2015-10-22,"385",12.5
2015-10-22,"390",15.875
2015-10-22,"395",19.75
2015-10-22,"400",23.875
2015-10-22,"405",28.25
2015-10-22,"410",32.75
2015-10-22,"420",42.375
2015-10-22,"430",52.125
2015-10-22,"440",62
2015-10-22,"450",71.875
2015-10-22,"530",151.875
2015-10-21,"210",0.125
2015-10-21,"300",0.125
2015-10-21,"330",0.25
2015-10-21,"335",0.375
2015-10-21,"340",0.375
2015-10-21,"345",0.5
2015-10-21,"350",0.875
2015-10-21,"360",2
2015-10-21,"365",3
2015-10-21,"370",4.375
2015-10-21,"375",6.125
2015-10-21,"380",8.375
2015-10-21,"385",11.125
2015-10-21,"390",14.375
2015-10-21,"395",18
2015-10-21,"400",21.875
2015-10-21,"405",26.125
2015-10-21,"410",30.625
2015-10-21,"420",40
2015-10-21,"430",49.625
2015-10-21,"440",59.5
2015-10-21,"445",64.375
2015-10-21,"450",69.375
2015-10-20,"320",0.125
2015-10-20,"330",0.25
2015-10-20,"335",0.375
2015-10-20,"340",0.5
2015-10-20,"350",1.125
2015-10-20,"355",1.75
2015-10-20,"360",2.625
2015-10-20,"365",3.875
2015-10-20,"370",5.5
2015-10-20,"375",7.75
2015-10-20,"380",10.375
2015-10-20,"385",13.625
2015-10-20,"390",17.125
2015-10-20,"400",25.25
2015-10-20,"410",34.25
2015-10-20,"420",43.75
2015-10-20,"430",53.5
2015-10-20,"440",63.375
2015-10-20,"450",73.375
2015-10-20,"470",93.375
2015-10-19,"330",0.25
2015-10-19,"340",0.625
2015-10-19,"350",1.625
2015-10-19,"355",2.5
2015-10-19,"360",3.75
2015-10-19,"365",5.375
2015-10-19,"370",7.5
2015-10-19,"375",9.875
2015-10-19,"380",12.75
2015-10-19,"385",16.25
2015-10-19,"390",20.125
2015-10-19,"395",24.25
2015-10-19,"400",28.625
2015-10-19,"410",37.75
2015-10-19,"420",47.375
2015-10-19,"430",57.25
2015-10-19,"440",67.125
2015-10-19,"450",77.125
2015-10-19,"480",107.125
2015-10-16,"310",0.125
2015-10-16,"320",0.125
2015-10-16,"330",0.25
2015-10-16,"335",0.375
2015-10-16,"340",0.5
2015-10-16,"345",0.75
2015-10-16,"350",1.25
2015-10-16,"355",2
2015-10-16,"360",2.875
2015-10-16,"365",4.25
2015-10-16,"370",6
2015-10-16,"375",8.125
2015-10-16,"380",10.75
2015-10-16,"385",13.875
2015-10-16,"390",17.375
2015-10-16,"395",21.25
2015-10-16,"400",25.375
2015-10-16,"410",34.375
2015-10-16,"420",43.875
2015-10-16,"430",53.625
2015-10-16,"440",63.375
2015-10-16,"450",73.375
2015-10-16,"460",83.375
2015-10-16,"470",93.375
2015-10-16,"500",123.375
2015-10-15,"315",0.125
2015-10-15,"330",0.375
2015-10-15,"340",0.75
2015-10-15,"345",1.125
2015-10-15,"350",1.75
2015-10-15,"355",2.625
2015-10-15,"360",3.75
2015-10-15,"365",5.25
2015-10-15,"370",7.125
2015-10-15,"375",9.5
2015-10-15,"380",12.25
2015-10-15,"385",15.5
2015-10-15,"390",19
2015-10-15,"395",22.875
2015-10-15,"400",27
2015-10-15,"410",35.875
2015-10-15,"420",45.25
2015-10-15,"430",54.875
2015-10-15,"440",64.625
2015-10-15,"450",74.625
2015-10-15,"460",84.625
2015-10-14,"320",0.125
2015-10-14,"330",0.375
2015-10-14,"335",0.5
2015-10-14,"340",0.625
2015-10-14,"345",1
2015-10-14,"350",1.5
2015-10-14,"355",2.25
2015-10-14,"360",3.125
2015-10-14,"365",4.5
2015-10-14,"370",6.125
2015-10-14,"375",8.125
2015-10-14,"380",10.5
2015-10-14,"385",13.375
2015-10-14,"390",16.625
2015-10-14,"395",20.25
2015-10-14,"400",24.25
2015-10-14,"410",32.75
2015-10-14,"420",42
2015-10-14,"430",51.625
2015-10-14,"440",61.375
2015-10-14,"450",71.125
2015-10-14,"460",81.125
2015-10-13,"310",0.125
2015-10-13,"320",0.125
2015-10-13,"325",0.125
2015-10-13,"330",0.25
2015-10-13,"335",0.375
2015-10-13,"340",0.5
2015-10-13,"345",0.75
2015-10-13,"350",1.125
2015-10-13,"355",1.625
2015-10-13,"360",2.375
2015-10-13,"365",3.375
2015-10-13,"370",4.625
2015-10-13,"375",6.125
2015-10-13,"380",8.125
2015-10-13,"385",10.5
2015-10-13,"390",13.25
2015-10-13,"395",16.5
2015-10-13,"400",20
2015-10-13,"410",28
2015-10-13,"420",36.875
2015-10-13,"430",46.25
2015-10-13,"450",65.75
2015-10-13,"460",75.625
2015-10-13,"470",85.625
2015-10-13,"500",115.625
2015-10-13,"670",285.625
2015-10-09,"325",0.25
2015-10-09,"330",0.375
2015-10-09,"335",0.5
2015-10-09,"340",0.75
2015-10-09,"345",1
2015-10-09,"350",1.5
2015-10-09,"360",3.125
2015-10-09,"365",4.25
2015-10-09,"370",5.75
2015-10-09,"375",7.5
2015-10-09,"380",9.75
2015-10-09,"385",12.375
2015-10-09,"390",15.25
2015-10-09,"395",18.5
2015-10-09,"400",22.125
2015-10-09,"405",26
2015-10-09,"410",30.125
2015-10-09,"420",38.875
2015-10-09,"430",48.25
2015-10-09,"440",57.875
2015-10-09,"450",67.625
2015-10-09,"480",97.375
2015-10-09,"290",0.125
2015-10-09,"300",0.125
2015-10-09,"310",0.125
2015-10-09,"320",0.125
2015-10-09,"355",2.125
2015-10-09,"415",34.5
2015-10-09,"470",87.375
2015-10-08,"325",0.25
2015-10-08,"330",0.375
2015-10-08,"335",0.625
2015-10-08,"340",0.875
2015-10-08,"345",1.25
2015-10-08,"350",1.625
2015-10-08,"360",2.875
2015-10-08,"365",3.875
2015-10-08,"370",5
2015-10-08,"375",6.5
2015-10-08,"380",8.25
2015-10-08,"385",10.25
2015-10-08,"390",12.625
2015-10-08,"395",15.25
2015-10-08,"400",18.25
2015-10-08,"405",21.5
2015-10-08,"410",25
2015-10-08,"420",32.875
2015-10-08,"430",41.375
2015-10-08,"440",50.375
2015-10-08,"450",59.75
2015-10-06,"310",0.125
2015-10-06,"315",0.125
2015-10-06,"320",0.125
2015-10-06,"325",0.25
2015-10-06,"330",0.375
2015-10-06,"335",0.5
2015-10-06,"340",0.625
2015-10-06,"345",0.875
2015-10-06,"350",1.125
2015-10-06,"355",1.5
2015-10-06,"360",2
2015-10-06,"365",2.625
2015-10-06,"370",3.5
2015-10-06,"375",4.625
2015-10-06,"380",6
2015-10-06,"385",7.625
2015-10-06,"390",9.625
2015-10-06,"395",11.875
2015-10-06,"400",14.375
2015-10-06,"405",17.25
2015-10-06,"410",20.25
2015-10-06,"415",23.75
2015-10-06,"420",27.375
2015-10-06,"425",31.25
2015-10-06,"430",35.375
2015-10-06,"435",39.625
2015-10-06,"440",44.125
2015-10-06,"450",53.25
2015-10-06,"480",82.125
2015-10-06,"490",92
2015-10-06,"500",101.875
2015-10-05,"310",0.125
2015-10-05,"320",0.25
2015-10-05,"325",0.25
2015-10-05,"330",0.375
2015-10-05,"335",0.5
2015-10-05,"340",0.75
2015-10-05,"345",1
2015-10-05,"350",1.375
2015-10-05,"355",1.875
2015-10-05,"360",2.5
2015-10-05,"365",3.25
2015-10-05,"370",4.375
2015-10-05,"375",5.75
2015-10-05,"380",7.375
2015-10-05,"385",9.375
2015-10-05,"390",11.625
2015-10-05,"395",14.125
2015-10-05,"400",17
2015-10-05,"405",20.125
2015-10-05,"410",23.5
2015-10-05,"420",31
2015-10-05,"430",39.375
2015-10-05,"450",57.625
2015-10-02,"300",0.125
2015-10-02,"320",0.25
2015-10-02,"330",0.5
2015-10-02,"340",0.875
2015-10-02,"345",1.25
2015-10-02,"350",1.875
2015-10-02,"355",2.5
2015-10-02,"360",3.375
2015-10-02,"365",4.375
2015-10-02,"370",5.75
2015-10-02,"375",7.375
2015-10-02,"380",9.25
2015-10-02,"385",11.5
2015-10-02,"390",13.875
2015-10-02,"395",16.75
2015-10-02,"400",19.875
2015-10-02,"405",23.125
2015-10-02,"410",26.75
2015-10-02,"420",34.75
2015-10-02,"430",43.375
2015-10-02,"500",110.875
2015-10-01,"310",0.125
2015-10-01,"315",0.25
2015-10-01,"320",0.375
2015-10-01,"325",0.5
2015-10-01,"330",0.625
2015-10-01,"340",1.125
2015-10-01,"345",1.625
2015-10-01,"350",2.125
2015-10-01,"355",2.875
2015-10-01,"360",3.875
2015-10-01,"365",5
2015-10-01,"370",6.375
2015-10-01,"375",8
2015-10-01,"380",10
2015-10-01,"385",12.25
2015-10-01,"390",14.75
2015-10-01,"395",17.625
2015-10-01,"400",20.75
2015-10-01,"405",24.125
2015-10-01,"410",27.75
2015-10-01,"415",31.625
2015-10-01,"420",35.625
2015-10-01,"430",44.125
2015-10-01,"450",62.5
2015-10-01,"470",81.875
2015-10-01,"490",101.5
2015-10-01,"500",111.5
2015-09-30,"290",0.125
2015-09-30,"310",0.25
2015-09-30,"320",0.375
2015-09-30,"325",0.5
2015-09-30,"330",0.75
2015-09-30,"335",1
2015-09-30,"340",1.375
2015-09-30,"345",1.875
2015-09-30,"350",2.5
2015-09-30,"355",3.25
2015-09-30,"360",4.25
2015-09-30,"365",5.5
2015-09-30,"370",6.875
2015-09-30,"375",8.625
2015-09-30,"380",10.75
2015-09-30,"385",13
2015-09-30,"390",15.625
2015-09-30,"395",18.5
2015-09-30,"400",21.625
2015-09-30,"405",25.125
2015-09-30,"410",28.75
2015-09-30,"420",36.625
2015-09-30,"430",45.25
2015-09-30,"440",54.25
2015-09-30,"450",63.625
2015-09-30,"460",73.125
2015-09-29,"310",0.25
2015-09-29,"320",0.5
2015-09-29,"325",0.625
2015-09-29,"330",0.875
2015-09-29,"340",1.625
2015-09-29,"345",2.125
2015-09-29,"350",2.75
2015-09-29,"355",3.625
2015-09-29,"360",4.625
2015-09-29,"365",5.875
2015-09-29,"370",7.375
2015-09-29,"375",9.125
2015-09-29,"380",11.125
2015-09-29,"385",13.5
2015-09-29,"390",16
2015-09-29,"395",18.875
2015-09-29,"400",21.875
2015-09-29,"405",25.125
2015-09-29,"410",28.75
2015-09-29,"420",36.375
2015-09-29,"430",44.75
2015-09-29,"440",53.5
2015-09-29,"450",62.75
2015-09-29,"500",111.25
2015-09-25,"290",0.125
2015-09-25,"300",0.125
2015-09-25,"325",0.875
2015-09-25,"330",1.125
2015-09-25,"340",1.875
2015-09-25,"345",2.375
2015-09-25,"350",3.125
2015-09-25,"355",4
2015-09-25,"360",5.125
2015-09-25,"365",6.5
2015-09-25,"370",8.125
2015-09-25,"375",9.875
2015-09-25,"380",11.875
2015-09-25,"385",14.25
2015-09-25,"390",16.75
2015-09-25,"395",19.625
2015-09-25,"400",22.625
2015-09-25,"410",29.5
2015-09-25,"415",33.25
2015-09-25,"420",37.125
2015-09-25,"450",63.125
2015-09-25,"460",72.5
2015-09-25,"470",82.125
2015-09-25,"480",91.875
2015-09-25,"315",0.5
2015-09-25,"320",0.625
2015-09-25,"335",1.375
2015-09-25,"405",26
2015-09-25,"430",45.375
2015-09-25,"440",54.125
2015-09-25,"500",111.5
2015-09-24,"290",0.125
2015-09-24,"325",1
2015-09-24,"330",1.375
2015-09-24,"340",2.5
2015-09-24,"345",3.25
2015-09-24,"350",4.125
2015-09-24,"355",5.25
2015-09-24,"360",6.625
2015-09-24,"365",8.25
2015-09-24,"370",10.125
2015-09-24,"375",12.25
2015-09-24,"380",14.75
2015-09-24,"385",17.375
2015-09-24,"390",20.375
2015-09-24,"395",23.625
2015-09-24,"400",27
2015-09-24,"410",34.5
2015-09-24,"415",38.5
2015-09-24,"420",42.625
2015-09-24,"450",69.875
2015-09-24,"460",79.5
2015-09-24,"470",89.25
2015-09-24,"480",99
2015-09-23,"310",0.375
2015-09-23,"320",0.625
2015-09-23,"330",1.25
2015-09-23,"335",1.625
2015-09-23,"340",2.125
2015-09-23,"345",2.875
2015-09-23,"350",3.75
2015-09-23,"355",4.75
2015-09-23,"360",6
2015-09-23,"365",7.5
2015-09-23,"370",9.25
2015-09-23,"375",11.375
2015-09-23,"380",13.75
2015-09-23,"385",16.25
2015-09-23,"390",19.125
2015-09-23,"395",22.25
2015-09-23,"400",25.625
2015-09-23,"410",33
2015-09-23,"420",41.125
2015-09-23,"430",49.75
2015-09-23,"440",58.875
2015-09-23,"450",68.25
2015-09-22,"300",0.25
2015-09-22,"310",0.5
2015-09-22,"325",1.125
2015-09-22,"330",1.5
2015-09-22,"335",1.875
2015-09-22,"340",2.5
2015-09-22,"345",3.25
2015-09-22,"350",4.25
2015-09-22,"355",5.375
2015-09-22,"360",6.875
2015-09-22,"365",8.5
2015-09-22,"370",10.5
2015-09-22,"375",12.75
2015-09-22,"380",15.125
2015-09-22,"385",17.875
2015-09-22,"390",20.875
2015-09-22,"395",24.125
2015-09-22,"400",27.75
2015-09-22,"405",31.375
2015-09-22,"410",35.25
2015-09-22,"420",43.5
2015-09-22,"430",52.375
2015-09-22,"450",70.875
2015-09-22,"480",100.125
2015-09-22,"500",119.875
2015-09-21,"300",0.25
2015-09-21,"310",0.5
2015-09-21,"320",0.875
2015-09-21,"325",1.125
2015-09-21,"330",1.375
2015-09-21,"335",1.875
2015-09-21,"340",2.375
2015-09-21,"345",3
2015-09-21,"350",4
2015-09-21,"355",5
2015-09-21,"360",6.25
2015-09-21,"365",7.75
2015-09-21,"370",9.625
2015-09-21,"375",11.625
2015-09-21,"380",13.75
2015-09-21,"385",16.25
2015-09-21,"390",19.125
2015-09-21,"395",22.125
2015-09-21,"400",25.375
2015-09-21,"405",28.875
2015-09-21,"410",32.625
2015-09-21,"420",40.5
2015-09-21,"430",49.125
2015-09-21,"450",67.375
2015-09-21,"460",76.75
2015-09-21,"480",96.25
2015-09-18,"300",0.375
2015-09-18,"310",0.625
2015-09-18,"320",1.125
2015-09-18,"325",1.5
2015-09-18,"330",2
2015-09-18,"335",2.625
2015-09-18,"340",3.375
2015-09-18,"345",4.25
2015-09-18,"350",5.375
2015-09-18,"355",6.75
2015-09-18,"360",8.25
2015-09-18,"365",10.125
2015-09-18,"370",12.25
2015-09-18,"375",14.625
2015-09-18,"380",17.375
2015-09-18,"385",20.25
2015-09-18,"390",23.375
2015-09-18,"395",26.875
2015-09-18,"400",30.5
2015-09-18,"410",38.25
2015-09-18,"415",42.375
2015-09-18,"420",46.5
2015-09-18,"430",55.375
2015-09-18,"440",64.625
2015-09-18,"450",74.125
2015-09-18,"460",83.75
2015-09-18,"490",113.125
2015-09-18,"290",0.125
2015-09-17,"300",0.375
2015-09-17,"310",0.625
2015-09-17,"320",1
2015-09-17,"325",1.375
2015-09-17,"330",1.875
2015-09-17,"335",2.375
2015-09-17,"340",3.125
2015-09-17,"345",4
2015-09-17,"350",5
2015-09-17,"355",6.25
2015-09-17,"360",7.75
2015-09-17,"365",9.5
2015-09-17,"370",11.5
2015-09-17,"375",13.75
2015-09-17,"380",16.25
2015-09-17,"385",19
2015-09-17,"390",21.625
2015-09-17,"395",25.375
2015-09-17,"400",29.625
2015-09-17,"410",36.625
2015-09-17,"420",44.75
2015-09-17,"430",53.375
2015-09-17,"440",62.5
2015-09-17,"450",71.875
2015-09-17,"460",81.375
2015-09-17,"490",110.625
2015-09-15,"300",0.125
2015-09-15,"310",0.375
2015-09-15,"320",0.75
2015-09-15,"325",1
2015-09-15,"330",1.25
2015-09-15,"335",1.625
2015-09-15,"340",2.125
2015-09-15,"345",2.625
2015-09-15,"350",3.375
2015-09-15,"355",4.25
2015-09-15,"360",5.375
2015-09-15,"365",6.625
2015-09-15,"370",8.125
2015-09-15,"375",10
2015-09-15,"380",12
2015-09-15,"385",14.375
2015-09-15,"390",16.75
2015-09-15,"395",19.625
2015-09-15,"400",22
2015-09-15,"405",25.875
2015-09-15,"410",29.25
2015-09-15,"415",32.875
2015-09-15,"420",36.75
2015-09-15,"430",44.75
2015-09-15,"440",53.25
2015-09-15,"450",62.25
2015-09-15,"460",71.5
2015-09-15,"470",81
2015-09-15,"475",85.75
2015-09-15,"490",100.25
2015-09-15,"500",110
2015-09-10,"305",0.75
2015-09-10,"310",1
2015-09-10,"320",1.875
2015-09-10,"325",2.375
2015-09-10,"330",3.125
2015-09-10,"335",3.875
2015-09-10,"340",5
2015-09-10,"345",6.25
2015-09-10,"350",7.75
2015-09-10,"355",9.5
2015-09-10,"360",11.375
2015-09-10,"365",13.625
2015-09-10,"370",16
2015-09-10,"375",18.625
2015-09-10,"380",21.5
2015-09-10,"385",24.5
2015-09-10,"390",27.75
2015-09-10,"395",31.25
2015-09-10,"400",35
2015-09-10,"405",38.75
2015-09-10,"410",42.75
2015-09-10,"420",51
2015-09-10,"430",59.75
2015-09-10,"440",68.75
2015-09-10,"450",78
2015-09-10,"460",87.5
2015-09-10,"480",106.875
2015-09-09,"300",0.875
2015-09-09,"310",1.375
2015-09-09,"315",1.875
2015-09-09,"320",2.375
2015-09-09,"325",3
2015-09-09,"330",3.875
2015-09-09,"335",5
2015-09-09,"340",6.125
2015-09-09,"345",7.625
2015-09-09,"350",9.375
2015-09-09,"355",11.375
2015-09-09,"360",13.5
2015-09-09,"365",16
2015-09-09,"370",18.625
2015-09-09,"375",21.5
2015-09-09,"380",24.625
2015-09-09,"385",28
2015-09-09,"390",31.5
2015-09-09,"400",38.875
2015-09-09,"410",47
2015-09-09,"420",55.5
2015-09-09,"430",64.5
2015-09-09,"440",73.625
2015-09-09,"450",83
2015-09-09,"460",92.625
2015-09-09,"470",102.25
2015-09-09,"490",121.875
2015-09-09,"500",131.625
2015-09-08,"270",0.125
2015-09-08,"280",0.25
2015-09-08,"290",0.5
2015-09-08,"300",0.875
2015-09-08,"310",1.5
2015-09-08,"320",2.5
2015-09-08,"325",3.25
2015-09-08,"330",4.125
2015-09-08,"335",5.125
2015-09-08,"340",6.375
2015-09-08,"345",8
2015-09-08,"350",9.75
2015-09-08,"355",11.75
2015-09-08,"360",14
2015-09-08,"365",16.5
2015-09-08,"370",19.125
2015-09-08,"375",22
2015-09-08,"380",25.125
2015-09-08,"385",28.5
2015-09-08,"390",32
2015-09-08,"395",35.625
2015-09-08,"400",39.5
2015-09-08,"405",43.5
2015-09-08,"410",47.75
2015-09-08,"420",56.25
2015-09-08,"430",65.25
2015-09-08,"440",74.375
2015-09-08,"450",83.875
2015-09-08,"470",103
2015-09-04,"300",1
2015-09-04,"310",1.625
2015-09-04,"320",2.875
2015-09-04,"325",3.625
2015-09-04,"330",4.625
2015-09-04,"335",5.875
2015-09-04,"340",7.375
2015-09-04,"345",9.125
2015-09-04,"350",11
2015-09-04,"355",13.25
2015-09-04,"360",15.625
2015-09-04,"365",18.375
2015-09-04,"370",21.25
2015-09-04,"375",24.5
2015-09-04,"380",27.875
2015-09-04,"385",31.375
2015-09-04,"390",35.125
2015-09-04,"395",39
2015-09-04,"400",43
2015-09-04,"410",51.625
2015-09-04,"420",60.375
2015-09-04,"425",65
2015-09-04,"430",69.625
2015-09-04,"435",74.25
2015-09-04,"440",79
2015-09-04,"450",88.5
2015-09-04,"460",98.125
2015-09-04,"470",107.875
2015-09-04,"480",117.625
2015-09-04,"290",0.5
2015-09-03,"300",1.125
2015-09-03,"310",2
2015-09-03,"320",3.375
2015-09-03,"325",4.25
2015-09-03,"330",5.375
2015-09-03,"335",6.625
2015-09-03,"340",8.25
2015-09-03,"345",10
2015-09-03,"350",12
2015-09-03,"355",14.375
2015-09-03,"360",16.875
2015-09-03,"365",19.625
2015-09-03,"370",22.625
2015-09-03,"375",25.875
2015-09-03,"380",29.25
2015-09-03,"385",32.875
2015-09-03,"390",36.625
2015-09-03,"395",40.5
2015-09-03,"400",44.625
2015-09-03,"410",53.125
2015-09-03,"420",62
2015-09-03,"425",66.5
2015-09-03,"430",71.125
2015-09-03,"435",75.75
2015-09-03,"440",80.5
2015-09-03,"450",90.125
2015-09-03,"460",99.75
2015-09-03,"470",109.375
2015-09-02,"300",1
2015-09-02,"310",1.75
2015-09-02,"320",3
2015-09-02,"325",3.875
2015-09-02,"330",4.875
2015-09-02,"335",6
2015-09-02,"340",7.375
2015-09-02,"350",10.625
2015-09-02,"355",12.625
2015-09-02,"360",15
2015-09-02,"365",17.5
2015-09-02,"370",20.25
2015-09-02,"375",23.25
2015-09-02,"380",26.375
2015-09-02,"385",29.75
2015-09-02,"390",33.25
2015-09-02,"395",37
2015-09-02,"400",40.875
2015-09-02,"410",48.875
2015-09-02,"420",57.375
2015-09-02,"430",66.25
2015-09-02,"440",75.375
2015-09-02,"450",84.75
2015-09-02,"460",94.25
2015-09-01,"300",1
2015-09-01,"305",1.25
2015-09-01,"310",1.625
2015-09-01,"320",2.75
2015-09-01,"325",3.5
2015-09-01,"330",4.375
2015-09-01,"335",5.5
2015-09-01,"340",6.75
2015-09-01,"345",8.25
2015-09-01,"350",10
2015-09-01,"355",12
2015-09-01,"360",14.25
2015-09-01,"365",16.625
2015-09-01,"370",19.25
2015-09-01,"375",22.125
2015-09-01,"380",25.25
2015-09-01,"385",28.5
2015-09-01,"390",32
2015-09-01,"395",35.625
2015-09-01,"400",39.5
2015-09-01,"410",47.5
2015-09-01,"420",56
2015-09-01,"430",64.875
2015-09-01,"440",74
2015-09-01,"450",83.375
2015-08-31,"300",0.75
2015-08-31,"310",1.25
2015-08-31,"320",2.375
2015-08-31,"325",2.875
2015-08-31,"330",3.875
2015-08-31,"335",4.5
2015-08-31,"340",5.5
2015-08-31,"350",8.25
2015-08-31,"360",12.25
2015-08-31,"365",15.125
2015-08-31,"370",16.5
2015-08-31,"375",20.75
2015-08-31,"380",22.875
2015-08-31,"385",26.875
2015-08-31,"390",30.125
2015-08-31,"395",33.875
2015-08-31,"400",36
2015-08-31,"410",45.5
2015-08-31,"420",53.5
2015-08-31,"430",61
2015-08-31,"450",82
2015-08-31,"470",98.5
2015-08-31,"480",108
